1660, -0.07, 8.18, -5.59, -10.25, -6.84, -64.50, -0.03, -0.00, -0.06
1904, 0.15, 8.14, -5.69, -9.57, -7.13, -64.22, 0.01, 0.04, -0.04
2150, 0.00, 8.15, -5.68, -9.60, -7.09, -64.16, -0.00, -0.01, -0.01
2396, 0.15, 8.12, -5.64, -9.65, -6.91, -63.97, -0.00, 0.00, -0.03
2643, -0.07, 8.19, -5.59, -9.94, -6.80, -64.59, 0.01, 0.03, -0.05
2889, -0.11, 8.31, -5.66, -10.03, -7.13, -64.62, 0.02, 0.05, -0.04
3135, 0.59, 8.79, -3.15, -13.93, -12.86, -72.86, -0.16, -0.09, 0.05
3508, -0.39, 8.60, -1.75, -12.74, -9.98, -68.06, -0.51, -1.00, 0.02
3919, -2.15, 13.74, -9.41, -5.88, -15.35, -68.68, 0.68, 0.27, 1.46
4167, 4.22, 4.02, -4.52, -18.49, -15.77, -85.44, -1.43, 0.62, -0.23
4413, 0.28, 4.73, -1.39, -19.96, -15.89, -89.89, -1.39, -0.74, -0.47
4661, -1.93, 8.66, -6.25, -16.16, -14.00, -77.08, -1.68, -1.02, -0.46
4907, -1.98, 9.53, -2.93, -6.47, -8.56, -63.18, -0.26, -0.95, -0.18
5152, -0.78, 9.38, -4.92, -7.72, -16.14, -71.05, 1.39, 0.44, 0.68
5400, -1.15, 10.58, -0.83, -19.13, -14.24, -82.34, 0.81, 0.15, 0.63
5654, -3.06, 8.89, -3.47, -19.86, -13.75, -79.73, -1.61, -1.19, 0.04
5900, -1.03, 8.15, -4.14, -12.63, -7.98, -65.61, -1.34, -0.85, -0.69
6148, -3.25, 11.39, 1.63, -4.02, -13.01, -64.73, 1.85, -1.61, 0.47
6393, 1.65, 5.88, -4.95, -16.75, -15.81, -82.90, 1.30, 1.99, 0.48
6639, 0.74, 6.29, 3.51, -19.50, -15.23, -90.72, 0.68, -1.18, -0.21
6887, 0.80, 9.36, -2.07, -16.19, -15.07, -80.12, -1.53, -1.28, -0.54
7133, -1.04, 9.86, -1.86, -7.12, -10.22, -67.14, -0.82, -0.54, -0.61
7389, -0.09, 12.97, -8.12, -3.86, -14.64, -71.38, 1.77, 1.79, 1.39
7634, -1.39, 7.69, -2.12, -19.79, -14.15, -89.68, -0.28, 0.24, 0.66
7880, 0.04, 9.54, -3.93, -24.12, -13.78, -90.79, -1.68, -0.26, 0.08
8128, -1.90, 8.51, -3.98, -17.41, -11.03, -70.05, -0.88, -0.28, -0.55
8374, -0.47, 11.98, 3.48, -10.25, -12.93, -65.76, 1.27, 0.06, -0.30
8620, 1.90, 7.39, -4.54, -19.69, -15.49, -78.57, 1.76, 1.69, 0.63
8867, 0.49, 10.25, 2.72, -25.12, -14.72, -91.25, 0.24, 0.08, -0.44
9113, -2.01, 8.49, -2.66, -21.65, -14.67, -81.57, -1.37, -0.77, -0.38
9367, -0.50, 10.16, -0.04, -12.19, -10.49, -66.16, -0.65, -0.61, -0.34
9613, -1.19, 11.51, -4.87, -10.52, -15.70, -70.17, 2.13, 1.93, 1.23
9861, -3.67, 8.54, -2.50, -23.41, -13.65, -85.55, -0.22, 1.41, 0.52
10106, -3.13, 12.25, -4.29, -23.87, -14.76, -93.91, -1.64, -0.34, 0.35
10354, -2.31, 9.06, -2.31, -17.35, -13.61, -74.98, -1.56, -0.71, -0.67
10600, -4.53, 17.23, -5.16, -8.11, -12.10, -64.92, -0.70, -0.87, -0.30
10846, 0.29, 9.19, -4.34, -13.26, -16.69, -75.61, 2.20, 1.67, 1.07
11102, 3.56, 9.77, 3.33, -21.84, -16.38, -92.24, 0.47, 0.72, -0.49
11347, -3.62, 9.84, -3.13, -22.55, -14.26, -83.70, -0.57, 0.06, -0.64
11593, -0.46, 9.29, -3.16, -11.50, -10.98, -66.87, -1.52, -0.94, -0.70
11841, 0.89, 10.67, -0.87, 1.99, -9.72, -58.68, 0.94, -1.93, 0.80
12087, 2.60, 8.35, -4.31, -5.98, -16.94, -69.07, 1.40, 1.67, 0.76
12333, -0.06, 6.70, 1.11, -14.63, -17.79, -79.54, 0.74, 0.03, -0.28
12580, 0.12, 9.66, -1.70, -11.88, -16.92, -72.74, -1.03, -0.82, -0.66
12832, -4.06, 9.38, -2.21, -0.26, -10.80, -60.41, -1.19, -0.32, -0.62
13080, 2.80, 10.23, -3.23, 5.63, -14.03, -61.24, 1.38, 0.54, 0.44
13326, -1.11, 6.27, -2.19, -6.36, -19.31, -72.64, 0.06, 1.26, 0.24
13572, -0.44, 6.11, -8.28, -8.40, -21.21, -76.64, -1.16, -0.73, -0.94
13819, -2.20, 8.82, -3.93, -2.78, -12.45, -63.64, -1.96, -0.55, -0.68
14065, -0.18, 8.79, -1.51, 1.67, -9.37, -59.51, 0.18, 0.10, -0.17
14311, 1.38, 9.94, -3.30, 1.74, -17.77, -70.90, 1.84, 0.91, 0.52
14559, -5.81, 10.56, 2.00, -6.42, -21.79, -79.55, 1.70, 1.97, 0.21
14813, -1.88, 9.28, -2.21, -4.87, -22.46, -77.49, -1.07, -0.74, -0.47
15058, -1.02, 9.08, -2.57, 4.28, -13.12, -63.87, -0.97, -0.35, -0.80
15306, -5.82, 18.15, 0.98, 13.21, -10.13, -59.53, 0.46, 0.05, -0.29
15552, 1.20, 8.82, -6.66, 0.12, -18.01, -69.15, 1.29, 2.06, 0.84
15798, -3.81, 7.90, 3.92, -13.29, -17.52, -77.38, 0.72, 0.61, 0.19
16046, -4.62, 9.27, -4.11, -14.22, -18.85, -78.68, -0.38, -0.09, -0.10
16291, -0.67, 9.55, -2.48, -7.56, -15.87, -68.68, -1.13, 0.08, -0.89
16545, -1.70, 11.43, -2.26, -0.23, -18.72, -66.84, 0.79, -1.25, 0.23
16791, 1.46, 8.33, -3.25, -12.19, -20.07, -77.43, 0.73, 1.69, 0.46
17039, -1.35, 10.15, 1.67, -22.76, -17.64, -91.29, 0.38, 1.79, -0.14
17285, -3.03, 9.34, -3.34, -21.91, -18.59, -91.60, -0.56, 0.30, -0.43
17532, -0.37, 9.19, -2.10, -15.62, -20.08, -81.31, -0.73, 0.27, -0.80
17778, -2.31, 9.04, -2.46, -7.51, -23.56, -80.18, 0.50, -0.35, 0.05
18024, 1.35, 8.73, -3.90, -16.79, -21.03, -93.41, 0.69, 1.88, 0.51
18270, 0.60, 8.91, 2.25, -18.90, -17.49, -111.27, 0.59, 1.89, -0.04
18530, -3.32, 8.85, -2.73, -17.25, -19.95, -104.81, -0.76, -0.05, -0.48
18778, -0.51, 10.01, -0.63, -12.00, -23.43, -97.37, -0.77, 0.35, -0.84
19023, -3.53, 11.71, -9.21, -9.00, -25.86, -97.50, 0.82, 1.33, 1.10
19271, 2.00, 6.20, -2.98, -9.92, -19.12, -118.34, -0.80, -0.01, 0.42
19517, 3.16, 5.10, -3.09, -4.00, -18.05, -124.31, -2.15, -2.88, -0.41
19765, -1.07, 9.44, -2.24, -6.01, -23.30, -113.71, -0.78, -0.08, -0.64
20011, -2.03, 10.33, 1.51, 3.64, -28.71, -102.66, -0.79, 0.24, -1.02
20264, -0.22, 9.77, -5.47, 2.81, -25.75, -113.53, 1.63, 2.60, 0.98
20510, -4.67, 7.77, 5.90, 6.07, -18.02, -123.75, 1.11, 3.06, 0.16
20758, -1.96, 9.21, -1.52, 10.45, -20.61, -120.93, -0.63, 0.17, -0.37
21004, -0.55, 9.74, -2.18, 15.10, -25.40, -110.10, -1.08, 0.39, -0.68
21252, -0.38, 12.99, 1.24, 23.55, -28.25, -100.32, 0.46, 0.48, -0.35
21497, -1.41, 8.04, -5.91, 18.05, -26.13, -112.38, 1.47, 2.24, 1.06
21743, -4.68, 7.90, 6.84, 15.61, -21.89, -115.86, 0.93, 1.67, 0.03
