Test 3: Motion data
4.06, 13.76, 8.03, 44.61, -20.99, -104.78, 0.98, -1.94, -0.50
2.64, 6.93, -3.48, 39.13, -16.27, -119.16, 1.53, 0.95, 0.82
-4.42, 8.18, -0.40, 38.59, -17.14, -120.36, -0.89, 0.73, 0.09
4.17, 8.85, 0.47, 40.06, -18.63, -105.25, -0.99, 0.77, -0.30
4.16, 10.71, 1.21, 39.56, -15.87, -95.16, -0.75, -0.56, -0.28
6.57, 9.34, -2.21, 45.07, -20.02, -110.90, 2.53, 0.32, 0.18
-0.58, 10.43, 3.83, 39.39, -15.87, -119.98, 1.82, 0.85, 0.29
0.38, 8.74, -1.65, 37.01, -13.40, -114.21, -1.43, -0.24, -0.04
2.13, 9.00, 0.67, 41.08, -15.90, -100.92, -0.98, 0.69, -0.14
7.24, 11.78, 10.25, 46.27, -16.25, -99.90, 1.71, -1.45, -0.53
3.51, 5.58, -2.84, 38.16, -14.06, -113.69, 1.83, 1.28, 0.63
-0.11, 9.05, 2.01, 36.07, -16.35, -118.23, -0.42, 0.81, -0.62
1.51, 9.41, 0.61, 36.83, -17.32, -104.52, -1.32, 0.49, -0.50
0.15, 11.38, -0.30, 35.27, -14.31, -92.87, -0.79, -0.08, -0.23
3.23, 14.25, -3.70, 39.59, -17.49, -103.52, 2.93, 1.51, 0.58
-2.38, 7.65, -2.44, 31.83, -13.20, -116.22, 0.19, 0.43, 0.69
7.79, 5.15, -0.20, 37.24, -14.73, -114.48, -2.06, -1.19, 0.03
0.55, 10.09, -0.91, 37.71, -18.18, -102.35, -1.52, 0.07, -0.23
3.40, 8.79, 4.65, 38.70, -16.40, -94.39, 0.58, -0.23, -0.44
2.89, 8.55, -3.88, 40.76, -18.59, -111.15, 1.83, -0.28, 0.70
2.25, 7.98, 7.19, 39.92, -14.79, -118.44, 0.40, 1.43, -0.19
-1.14, 9.98, -1.90, 37.78, -14.95, -110.67, -1.07, 0.44, -0.18
4.95, 9.70, 1.69, 40.03, -15.45, -97.30, -0.80, 0.10, -0.13
-2.18, 11.38, -5.86, 40.49, -11.60, -102.44, 0.46, -2.37, 0.31
3.82, 5.92, -2.69, 35.82, -13.30, -110.96, 0.36, -0.24, 0.52
11.35, 5.61, 1.39, 42.03, -17.83, -107.76, -0.39, 3.37, -0.56
1.65, 9.08, 0.14, 42.88, -15.21, -94.87, -1.40, 0.15, -0.04
3.78, 10.08, 4.29, 44.64, -11.30, -82.56, 0.65, 1.20, -0.43
0.80, 10.16, -3.89, 42.85, -19.75, -87.59, 2.43, 2.71, 1.13
0.03, 7.38, 4.24, 31.28, -27.29, -91.35, 1.45, 1.21, 0.75
-1.79, 10.22, 0.62, 24.98, -22.13, -82.05, -0.72, 0.68, -0.24
2.68, 9.20, -0.13, 22.17, -16.35, -70.65, -1.15, 1.07, -0.18
-4.15, 12.34, -6.90, 23.47, -17.03, -72.67, 0.57, -1.74, 0.53
5.53, 5.54, -0.48, 10.70, -26.03, -88.69, -0.30, 0.27, 0.72
10.38, 5.33, -0.20, 5.85, -26.43, -91.46, -1.03, 1.12, 0.36
2.55, 7.94, 0.45, 4.41, -21.81, -78.54, -1.20, -0.01, -0.31
1.00, 10.04, 2.86, 3.76, -17.30, -70.97, -0.60, 0.24, -0.46
2.00, 9.95, -3.01, 7.02, -26.38, -82.78, 1.77, 0.32, 0.76
2.01, 6.99, 7.11, 0.50, -28.69, -100.44, 1.05, 1.23, 0.05
-0.30, 9.97, -1.14, -1.94, -26.05, -92.93, -1.09, 0.88, -0.16
2.89, 9.19, -1.13, -7.34, -21.38, -83.31, -0.86, 0.00, 0.05
-1.56, 10.52, -3.63, 0.83, -21.85, -83.19, 0.27, -2.31, 0.48
2.60, 6.18, -1.19, -4.56, -23.76, -101.75, 0.92, -0.52, 0.60
12.99, 4.19, 3.14, -2.15, -25.29, -109.54, -0.54, 2.26, 0.06
0.81, 8.14, 1.30, -6.58, -22.45, -93.44, -1.79, -0.32, -0.18
3.55, 9.38, 2.13, -7.32, -19.18, -83.18, -0.06, 0.56, -0.40
1.84, 10.02, -3.32, -3.16, -27.10, -96.90, 2.14, 0.80, 0.70
0.38, 7.71, 9.51, -3.38, -23.00, -118.02, 1.84, 2.76, 0.58
-0.13, 9.66, -1.24, -3.43, -22.20, -115.14, -1.15, 0.12, 0.07
4.22, 10.06, 0.82, 2.97, -27.70, -104.66, -1.09, 0.75, -0.33
-5.87, 15.47, -8.90, 5.36, -26.85, -107.54, 1.60, 0.97, 0.95
2.14, 6.96, -1.05, 6.83, -13.93, -129.01, 1.34, 0.54, 0.86
1.58, 12.54, 6.99, 9.30, -11.11, -132.24, 0.66, 2.98, -0.76
3.09, 8.75, 1.26, 12.12, -17.39, -124.32, -1.66, -0.22, -0.21
2.21, 10.46, -1.53, 11.05, -21.98, -114.70, -1.32, -1.33, -0.23
4.73, 9.81, -1.61, 6.64, -23.30, -118.65, 2.02, -0.49, 0.47
-2.05, 10.47, 5.09, -2.92, -18.11, -125.24, 1.20, -0.03, 0.45
-4.21, 10.73, -3.17, -9.38, -15.23, -123.50, -1.64, -0.57, -0.08
3.48, 8.13, 0.40, -11.69, -22.64, -109.79, -0.70, -0.59, 0.07
-0.22, 13.17, -2.30, -13.45, -26.31, -95.18, 0.68, -2.84, 0.14
-0.02, 6.48, -3.11, -15.29, -24.39, -99.39, 0.32, -1.51, 0.43
4.04, 6.29, 1.95, -11.74, -26.59, -102.84, -0.99, -0.74, -0.39
0.23, 9.36, -0.72, -12.01, -22.61, -85.81, -1.58, 0.29, -0.43
-2.32, 12.72, 3.45, -3.73, -21.78, -73.66, 0.64, -0.33, -0.36
-0.14, 8.53, -4.84, -1.67, -28.62, -91.19, 1.98, 0.62, 0.89
-2.58, 8.68, 9.67, -9.66, -24.61, -105.45, 1.15, 0.19, 0.31
-1.32, 9.35, -0.12, -8.81, -25.24, -98.49, -1.39, 0.41, -0.58
2.99, 9.31, 1.29, -8.70, -22.46, -84.79, -0.64, 0.33, -0.23
-1.36, 14.95, -4.40, -1.39, -22.62, -78.40, 1.90, 0.43, 0.85
2.33, 6.12, -3.94, -7.54, -24.44, -100.67, 0.35, -0.74, 0.59
9.02, 4.25, 1.02, -2.13, -27.76, -108.48, -1.00, 2.27, 0.19
0.26, 8.68, 0.36, -6.08, -25.39, -90.76, -1.76, -0.59, -0.36
2.23, 10.68, 2.41, -1.81, -20.20, -74.71, -0.63, -0.90, -0.62
3.49, 9.76, -3.26, 1.23, -29.63, -92.22, 2.67, 0.73, 0.88
0.10, 7.75, 12.40, -6.88, -25.94, -107.44, 1.40, 0.64, 0.49
-2.91, 11.82, -2.67, -4.91, -27.17, -100.00, -1.51, 0.41, -0.35
4.74, 9.82, -1.42, -4.05, -25.14, -84.93, -1.40, 0.05, -0.21
-1.73, 15.81, -7.60, 3.22, -24.00, -79.99, 0.02, -4.49, 1.03
5.51, 4.36, -3.34, -3.51, -27.01, -106.02, 0.62, -0.29, 0.50
9.84, 6.88, -4.53, -2.15, -27.96, -107.82, -1.91, -0.81, 0.45
0.18, 11.00, 0.60, -3.20, -26.81, -90.21, -1.69, -0.26, -0.23
-1.27, 13.42, 3.83, 2.03, -25.33, -77.32, 0.22, 0.03, -0.36
2.17, 9.62, -3.47, 1.52, -30.71, -94.45, 2.09, 0.44, 0.98
0.03, 6.76, 11.31, -5.16, -27.43, -108.01, 0.77, 0.31, -0.01
